area,coins,danmakus,episodes_aid,episodes_duration,favorites,media_id,name,season_id,style,views,years
中国大陆,51535.0,93294.0,"OrderedDict([('青铜器、宫廷钟表和陶瓷的修复', '3924328'), ('木器、漆器、百宝镶嵌、织绣的修复', '3924328'), ('书画的修复、临摹和摹印', '3924328')])","[50, 50, 50]",93330.0,20792,我在故宫修文物,20792,"['人文', '社会']",4405732.0,2016
中国大陆,33919.0,144492.0,"OrderedDict([('浙江', '45285711'), ('四川', '45371174'), ('内蒙古', '45455658'), ('甘肃', '45536113'), ('广东', '45622234'), ('福建', '45710153'), ('江苏', '45821700')])","[49, 49, 49, 49, 49, 49, 49]",273834.0,19380306,航拍中国 第二季,26706,"['自然', '人文', '旅行']",4382309.0,2019
美国,4865.0,48766.0,"OrderedDict([('无法克制', '31254557'), ('苦难得州', '31254768'), ('连日大雨', '31254515'), ('猛兽夹攻', '31254981'), ('蜘蛛围攻', '31254924'), ('林地称王', '31256091'), ('灰烬中求生', '31255036'), ('寒气逼人', '31254820'), ('惊惧寒夜', '31254618'), ('凶猛爬虫', '31255243'), ('浑身湿透', '31255090'), ('疼痛能耐', '31255140'), ('恐怖鳄鱼', '31256149'), ('惊人雨势', '31255212'), ('又饿又怒', '31256206'), ('灼热澳大利亚', '31256044')])","[43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43]",141603.0,130152,原始生活21天 第二季,25500,['探险'],4346620.0,2018
英国,12512.0,52990.0,"OrderedDict([('', '21415099')])","[61, 61, 61, 60, 58, 61]",104329.0,73512,Top Gear 第25季,23780,"['科技', '运动', '社会']",4311384.0,2018
中国大陆,39984.0,67871.0,"OrderedDict([('人头壶', '17857003'), ('贾湖骨笛', '17857003'), ('陶鹰鼎', '17857003'), ('龙山蛋壳黑陶杯', '17857003'), ('红山玉龙', '17857003'), ('凌家滩玉版玉龟', '17894529'), ('良渚玉琮王', '17894529'), ('镶嵌绿松石铜牌饰', '17894529'), ('殷墟嵌绿松石甲骨', '17894529'), ('后母戊鼎', '17894529'), ('妇好玉凤', '17924422'), ('鸮尊', '17924422'), ('利簋', '17924422'), ('何尊', '17924422'), ('玉组佩', '17924422'), ('三星堆青铜人像', '17956142'), ('三星堆青铜神树', '17956142'), ('太阳神鸟金箔', '17956142'), ('大克鼎', '17956142'), ('古滇国贮贝器', '17956142'), ('莲鹤方壶', '17987588'), ('曾侯乙尊盘', '17987588'), ('越王勾践剑', '17987588'), ('错金银铜版兆域图', '17987588'), ('虎符', '17987588')])","[4, 4, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]",204810.0,33572,如果国宝会说话 第一季,22505,"['人文', '历史']",4145332.0,2018
中国大陆,30001.0,22128.0,"OrderedDict([('灵魂拷问', '40964489'), ('战术撤退', '41675896'), ('神奇的逻辑', '42378662'), ('年度测试卷', '42539263'), ('无中生“友”', '43617154'), ('要不得的“任性”', '44371917'), ('意外的“惊喜”', '45022959'), ('较真', '45683626'), ('“托尼老师”', '46344731'), ('“变魔术”', '47027662')])","[5, 5, 6, 8, 6, 7, 6, 5, 6, 6]",115215.0,12593229,bilibili@黄金眼,26489,['社会'],4138767.0,2019
中国大陆,34382.0,76321.0,"OrderedDict([('变身', '17992820'), ('异族', '18231176'), ('滋味', '18495939'), ('旅行', '18766056'), ('灵感', '19012411'), ('诱惑', '19361293')])","[35, 34, 33, 34, 34, 34]",133723.0,39912,水果传,22785,"['美食', '人文']",3571939.0,2018
英国,10557.0,85449.0,"OrderedDict([('荒野求生秘技', '31011990'), ('欧洲阿尔卑斯山', '31011990'), ('哥斯达黎加雨林', '31011990'), ('犹他州沙漠', '31011990'), ('内华达山', '31011990'), ('阿拉斯加山脉', '31011990'), ('基拉韦厄火山', '31011990'), ('无人荒岛', '31011990'), ('非洲草原', '31011990'), ('大沼泽', '31011990'), ('厄瓜多尔', '31011990'), ('澳大利亚金伯利', '31011990'), ('墨西哥', '31011990'), ('冰岛', '31011990'), ('苏格兰高地', '31011990')])","[43, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43]",143699.0,129832,荒野求生 第一季,25488,['探险'],3402844.0,2006
英国,12272.0,27047.0,"OrderedDict([('托罗尔斯第根一决雌雄', '43419738'), ('揭秘全世界最全能的车', '44402287'), ('最好的GT跑车，最快的保时捷911', '44843584'), ('六千英镑就能买到劳斯莱斯', '45585304'), ('兰博基尼真好看', '46335767')])","[59, 61, 57, 45, 60]",96764.0,10394559,Top Gear 第26季,26442,"['科技', '运动', '社会']",3315203.0,2019
日本,3597.0,94866.0,"OrderedDict([('江户切子', '1859963'), ('和菓子', '1877371'), ('日本刀', '1900023'), ('荞麦面', '1922141'), ('豆腐', '1946222'), ('和服', '2153104'), ('澡堂', '2182787'), ('夏食', '2208005'), ('屋形船', '2233967'), ('烟花', '2255415'), ('浅草', '2278326'), ('江户前寿司', '2304212'), ('银座寿司', '2329116'), ('糖', '2357832'), ('熊手', '2382228'), ('三曲', '2409103'), ('日本酒', '2435913')])","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]",19709.0,73712,和之美,20787,"['人文', '美食']",2838668.0,2015
